Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry
A,"Agilent Technologies, Inc.",23.959291,2.089,1.9,38619705344,Healthcare,Diagnostics & Research
AA,Alcoa Corporation,10.783699,1.447,1.59,8905610240,Basic Materials,Aluminum
AAMI,Acadian Asset Management Inc.,7.9270377,1.452,10.66,959443200,Financial Services,Asset Management
AAP,Advance Auto Parts Inc.,16.148699,1.34,5.85,2594866688,Consumer Cyclical,Specialty Retail
AAT,"American Assets Trust, Inc.",30.319443,1.349,2.5,1687891200,Real Estate,REIT - Diversified
ABBV,AbbVie Inc.,16.659521,0.66,3.11,356741939200,Healthcare,Drug Manufacturers - General
ABEV,Ambev S.A.,10.105263,1.196,0.63,30263040000,Consumer Defensive,Beverages - Brewers
ABM,ABM Industries Incorporated,14.382513,1.327,4.91,3274902784,Industrials,Specialty Business Services
AC,"Associated Capital Group, Inc.",14.694982,21.112,1.8,806285888,Financial Services,Asset Management
ACA,"Arcosa, Inc.",21.031673,3.608,2.9,4534291456,Industrials,Engineering & Construction
ACCO,Acco Brands Corporation,3.9652174,1.492,4.07,423537344,Industrials,Business Equipment & Supplies
ACEL,"Accel Entertainment, Inc.",13.976745,2.709,3.44,1031237952,Consumer Cyclical,Gambling
ACHR,Archer Aviation Inc.,-9.222222,6.032,1.56,4952595968,Industrials,Aerospace & Defense
ACI,"Albertsons Companies, Inc.",9.052863,0.932,1.38,11906238464,Consumer Defensive,Grocery Stores
ACM,AECOM,19.543087,1.14,2.52,12939928576,Industrials,Engineering & Construction
ACN,Accenture plc,25.889128,1.466,2.01,227837345792,Technology,Information Technology Services
ACR,ACRES Commercial Realty Corp.,10.2736845,63.479,0.58,151024480,Real Estate,REIT - Mortgage
ACRE,Ares Commercial Real Estate Cor,14.588235,4.211,2.82,272090720,Real Estate,REIT - Mortgage
ADC,Agree Realty Corporation,40.016483,1.356,14.62,7836216832,Real Estate,REIT - Retail
ADCT,ADC Therapeutics SA,-1.0939597,4.92,8.27,157604048,Healthcare,Biotechnology
ADM,Archer-Daniels-Midland Company,9.5049305,5.443,3.09,23117080576,Consumer Defensive,Farm Products
ADNT,Adient plc,4.9387755,1.082,3.85,1421820032,Consumer Cyclical,Auto Parts
ADT,ADT Inc.,9.1875,0.805,3.34,6548945408,Industrials,Security & Protection Services
AEE,Ameren Corporation,20.028456,0.663,3.05,26596536320,Utilities,Utilities - Regulated Electric
AEG,Aegon Ltd. New York Registry Sh,20.62069,24.052,1.28,9942048768,Financial Services,Insurance - Diversified
AEM,Agnico Eagle Mines Limited,21.074562,1.855,3.12,48452661248,Basic Materials,Gold
AEO,"American Eagle Outfitters, Inc.",7.097938,1.57,3.55,2645244672,Consumer Cyclical,Apparel Retail
AER,AerCap Holdings N.V.,8.306373,1.982,2.74,19289952256,Industrials,Rental & Leasing Services
AES,The AES Corporation,5.2167487,0.851,2.58,7529776128,Utilities,Utilities - Diversified
AESI,Atlas Energy Solutions Inc.,10.419191,1.226,9.95,3383216896,Energy,Oil & Gas Equipment & Services
AFL,AFLAC Incorporated,14.248257,13.469,4.87,56184328192,Financial Services,Insurance - Life
AG,First Majestic Silver Corp.,21.346155,3.03,1.37,2701040640,Basic Materials,Silver
AGCO,AGCO Corporation,14.654815,1.343,6.46,7383912448,Industrials,Farm & Heavy Construction Machinery
