Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry,sentiment,confidence
A,"Agilent Technologies, Inc.",20.41947,2.091,1.73,32772579328,Healthcare,Diagnostics & Research,neutral,0.4241849184036255
AA,Alcoa Corporation,9.962382,1.713,2.37,8227905536,Basic Materials,Aluminum,neutral,0.4241849184036255
AAMI,Acadian Asset Management Inc.,12.305643,1.452,2.32,1432316800,Financial Services,Asset Management,neutral,0.4241849184036255
AAP,Advance Auto Parts Inc.,23.717323,1.269,2.41,3823229184,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
AAT,"American Assets Trust, Inc.",27.979166,4.178,2.54,1557537024,Real Estate,REIT - Diversified,neutral,0.4241849184036255
ABBV,AbbVie Inc.,15.375516,0.76,2.5,329442426880,Healthcare,Drug Manufacturers - General,neutral,0.4241849184036255
ABEV,Ambev S.A.,12.5,1.107,1.92,37502910464,Consumer Defensive,Beverages - Brewers,neutral,0.4241849184036255
ABG,Asbury Automotive Group Inc,8.584687,1.245,8.99,4673188352,Consumer Cyclical,Auto & Truck Dealerships,neutral,0.4241849184036255
ABM,ABM Industries Incorporated,13.061475,1.55,3.47,2976243712,Industrials,Specialty Business Services,neutral,0.4241849184036255
ABR,Arbor Realty Trust,7.6045756,2.54,12.92,2408177408,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
ABT,Abbott Laboratories,24.282948,1.78,3.54,218001965056,Healthcare,Medical Devices,neutral,0.4241849184036255
AC,"Associated Capital Group, Inc.",14.409266,24.029,6.8,788858944,Financial Services,Asset Management,neutral,0.4241849184036255
ACA,"Arcosa, Inc.",20.190044,1.983,5.74,4356348416,Industrials,Engineering & Construction,neutral,0.4241849184036255
ACCO,Acco Brands Corporation,3.3130436,1.762,3.62,343277568,Industrials,Business Equipment & Supplies,neutral,0.4241849184036255
ACEL,"Accel Entertainment, Inc.",14.906976,2.42,5.67,1085101440,Consumer Cyclical,Gambling,neutral,0.4241849184036255
ACHR,Archer Aviation Inc.,-11.385051,15.801,1.52,6188013056,Industrials,Aerospace & Defense,neutral,0.4241849184036255
ACI,"Albertsons Companies, Inc.",9.039648,0.905,5.14,11573074944,Consumer Defensive,Grocery Stores,neutral,0.4241849184036255
ACM,AECOM,22.473948,1.152,3.07,14836894720,Industrials,Engineering & Construction,neutral,0.4241849184036255
ACN,Accenture plc,20.26226,1.461,3.03,177569153024,Technology,Information Technology Services,neutral,0.4241849184036255
ACR,ACRES Commercial Realty Corp.,9.294737,71.765,1.66,130581392,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
ACRE,Ares Commercial Real Estate Cor,13.32353,8.365,3.95,249174480,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
ACVA,ACV Auctions Inc.,-115.07924,1.499,8.35,2699271936,Consumer Cyclical,Auto & Truck Dealerships,neutral,0.4241849184036255
ADC,Agree Realty Corporation,39.497253,1.166,10.53,7933660160,Real Estate,REIT - Retail,neutral,0.4241849184036255
ADCT,ADC Therapeutics SA,-2.0872483,4.464,4.89,349131712,Healthcare,Biotechnology,neutral,0.4241849184036255
ADM,Archer-Daniels-Midland Company,10.786982,1.382,3.49,26275809280,Consumer Defensive,Farm Products,neutral,0.4241849184036255
ADNT,Adient plc,6.418367,1.109,4.74,1849625344,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
ADT,ADT Inc.,10.5375,0.768,1.29,7051779584,Industrials,Security & Protection Services,neutral,0.4241849184036255
AEE,Ameren Corporation,20.292683,0.857,4.98,27067822080,Utilities,Utilities - Regulated Electric,neutral,0.4241849184036255
AEG,Aegon Ltd. New York Registry Sh,24.637932,6.947,0.64,11136625664,Financial Services,Insurance - Diversified,neutral,0.4241849184036255
AEM,Agnico Eagle Mines Limited,27.179825,2.37,2.58,62646218752,Basic Materials,Gold,neutral,0.4241849184036255
AEO,"American Eagle Outfitters, Inc.",5.232062,1.381,1.81,1758704896,Consumer Cyclical,Apparel Retail,neutral,0.4241849184036255
AER,AerCap Holdings N.V.,9.124706,1.115,2.07,20245839872,Industrials,Rental & Leasing Services,neutral,0.4241849184036255
AES,The AES Corporation,6.800493,0.843,2.09,9828097024,Utilities,Utilities - Diversified,neutral,0.4241849184036255
AESI,Atlas Energy Solutions Inc.,6.661616,1.622,10.9,2188155136,Energy,Oil & Gas Equipment & Services,neutral,0.4241849184036255
AFG,"American Financial Group, Inc.",10.7425785,2.077,3.38,10577972224,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
AFL,AFLAC Incorporated,14.189679,1.38,4.67,55005220864,Financial Services,Insurance - Life,neutral,0.4241849184036255
AG,First Majestic Silver Corp.,33.615383,3.192,1.04,4250052096,Basic Materials,Silver,neutral,0.4241849184036255
AGCO,AGCO Corporation,15.957037,1.528,5.59,8035553792,Industrials,Farm & Heavy Construction Machinery,neutral,0.4241849184036255
AGI,Alamos Gold Inc.,23.654545,1.487,2.78,10943100928,Basic Materials,Gold,neutral,0.4241849184036255
AGL,"agilon health, inc.",-7.803571,1.201,4.81,904485120,Healthcare,Medical Care Facilities,neutral,0.4241849184036255
AGM,Federal Agricultural Mortgage C,9.918888,1.443,1.37,1841416064,Financial Services,Credit Services,neutral,0.4241849184036255
AGO,Assured Guaranty Ltd.,13.1855345,0.952,3.68,4109139968,Financial Services,Insurance - Specialty,neutral,0.4241849184036255
AGRO,Adecoagro S.A.,7.135338,1.983,1.19,948935424,Consumer Defensive,Farm Products,neutral,0.4241849184036255
AGX,"Argan, Inc.",40.164032,1.745,1.38,2772219648,Industrials,Engineering & Construction,neutral,0.4241849184036255
AHH,"Armada Hoffler Properties, Inc.",28.34,1.611,2.65,723357248,Real Estate,REIT - Diversified,neutral,0.4241849184036255
AHL,Aspen Insurance Holdings Limite,5.986734,0.758,2.48,2807499776,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
AHR,"American Healthcare REIT, Inc.",199.00002,1.393,2.77,6030581248,Real Estate,REIT - Healthcare Facilities,neutral,0.4241849184036255
AHT,Ashford Hospitality Trust Inc,-0.52070314,0.387,4.16,39948344,Real Estate,REIT - Hotel & Motel,neutral,0.4241849184036255
AI,"C3.ai, Inc.",-83.35294,6.856,2.91,3808499200,Technology,Software - Infrastructure,neutral,0.4241849184036255
AIG,"American International Group, I",12.047689,0.636,3.36,46590513152,Financial Services,Insurance - Diversified,neutral,0.4241849184036255
AII,American Integrity Insurance Gr,6.2865925,1.977,2.46,330571072,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
AIN,Albany International Corporatio,18.13735,3.695,2.73,2109004160,Consumer Cyclical,Textile Manufacturing,neutral,0.4241849184036255
AIR,AAR Corp.,17.78,2.815,3.27,2999479040,Industrials,Aerospace & Defense,neutral,0.4241849184036255
AIT,Applied Industrial Technologies,24.754969,3.567,3.4,9965216768,Industrials,Industrial Distribution,neutral,0.4241849184036255
AIV,Apartment Investment and Manage,-19.254223,1.69,4.73,1227814784,Real Estate,REIT - Residential,neutral,0.4241849184036255
AIZ,"Assurant, Inc.",10.452288,0.416,0.83,9496794112,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
AJG,Arthur J. Gallagher & Co.,27.523493,1.443,2.87,79495487488,Financial Services,Insurance Brokers,neutral,0.4241849184036255
AKA,a.k.a. Brands Holding Corp.,-137.375,1.519,1.62,117755648,Consumer Cyclical,Apparel Retail,neutral,0.4241849184036255
AKR,Acadia Realty Trust,48.12821,1.139,5.78,2594764800,Real Estate,REIT - Retail,neutral,0.4241849184036255
AL,Air Lease Corporation,12.543763,0.402,2.76,6406584832,Industrials,Rental & Leasing Services,neutral,0.4241849184036255
ALB,Albemarle Corporation,43.423912,2.112,5.36,9401113600,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
ALC,Alcon Inc.,24.940342,2.701,2.74,43433664512,Healthcare,Medical Instruments & Supplies,neutral,0.4241849184036255
ALE,"Allete, Inc.",16.561403,1.256,3.7,3830247936,Utilities,Utilities - Diversified,neutral,0.4241849184036255
